FMTNAME,START,LABEL,city,state
I94PRTL,GRR,"GREER, SC",GREER, SC
I94PRTL,GRT,"GROTON, CT",GROTON, CT
I94PRTL,GRU,"GUARULHOS INTL, SAO PAULO, BRAZIL",GUARULHOS INTL, SAO PAULO
I94PRTL,GSO,"PIEDMONT TRIAD INTL AIRPORT, NC",PIEDMONT TRIAD INTL AIRPORT, NC
I94PRTL,GSP,"GREENVILLE, SC",GREENVILLE, SC
I94PRTL,GTF,"Collapsed into INT, MN",Collapsed into INT, MN
I94PRTL,GTR,"GOLDEN TRIANGLE LOWNDES CNTY, MS",GOLDEN TRIANGLE LOWNDES CNTY, MS
I94PRTL,GUL,"GULFPORT, MS",GULFPORT, MS
I94PRTL,HAL,"Halifax, NS, Canada",Halifax, NS
I94PRTL,HAM,"HAMILTON, BERMUDA",HAMILTON, BERMUDA
I94PRTL,HAR,"HARTFORD, CT",HARTFORD, CT
I94PRTL,HEF,"MANASSAS, VA #ARPT",MANASSAS, VA #ARPT
I94PRTL,HEL,"HELENA, MT",HELENA, MT
I94PRTL,HHW,"HONOLULU, HI",HONOLULU, HI
I94PRTL,HID,"HIDALGO, TX",HIDALGO, TX
I94PRTL,HIG,"HIGHGATE SPRINGS, VT",HIGHGATE SPRINGS, VT
I94PRTL,HIL,"SHILLAVO, ETHIOPIA",SHILLAVO, ETHIOPIA
I94PRTL,HIO,"HILLSBORO, OR",HILLSBORO, OR
I94PRTL,HLG,"HARLINGEN, TX",HARLINGEN, TX
I94PRTL,HML,"HAMIIN, ME",HAMIIN, ME
I94PRTL,HMM,"HAMMOND, IN",HAMMOND, IN
I94PRTL,HMO,"GEN PESQUEIRA GARCIA, MX",GEN PESQUEIRA GARCIA, MX
I94PRTL,HNN,"HANNAH, ND",HANNAH, ND
I94PRTL,HNS,"HANSBORO, ND",HANSBORO, ND
I94PRTL,HOB,"HOBOKEN, NJ",HOBOKEN, NJ
I94PRTL,HOM,"HOMER, AK",HOMER, AK
I94PRTL,HON,"HOWES REGIONAL ARPT - HURON, SD",HOWES REGIONAL ARPT - HURON, SD
I94PRTL,HOP,"HOPEWELL, VA",HOPEWELL, VA
I94PRTL,HOU,"HOUSTON, TX",HOUSTON, TX
I94PRTL,HPN,"WESTCHESTER - WHITE PLAINS, NY",WESTCHESTER - WHITE PLAINS, NY
I94PRTL,HRL,Collapsed (HLG) 06/15,,
I94PRTL,HSB,"HARRISONBURG, PA",HARRISONBURG, PA
I94PRTL,HSV,"MADISON COUNTY - HUNTSVILLE, AL",MADISON COUNTY - HUNTSVILLE, AL
I94PRTL,HTM,"HOULTON, ME",HOULTON, ME
I94PRTL,HUM,"HUMACAO, PR",HUMACAO, PR
I94PRTL,HUR,"HURLBURT FIELD, FL",HURLBURT FIELD, FL
I94PRTL,HVR,"HAVRE, MT",HAVRE, MT
I94PRTL,HYD,"HYDER, AK",HYDER, AK
I94PRTL,IAG,Collapsed (NIA) 06/15,,
I94PRTL,ICN,"INCHON, SEOUL KOREA",INCHON, SEOUL KOREA
I94PRTL,ICP,"IMPERIAL COUNTY, CA",IMPERIAL COUNTY, CA
I94PRTL,ICT,"MID-CONTINENT - WITCHITA, KS",MID-CONTINENT - WITCHITA, KS
I94PRTL,IDA,"FANNING FIELD - IDAHO FALLS, ID",FANNING FIELD - IDAHO FALLS, ID
I94PRTL,IND,"LOS INDIOS, TX",LOS INDIOS, TX
I94PRTL,INL,"Collapsed into INT, MN",Collapsed into INT, MN
I94PRTL,INP,"INDIANAPOLIS, IN",INDIANAPOLIS, IN
I94PRTL,INT,"INT'L FALLS, MN",INT'L FALLS, MN
I94PRTL,ISB,"PORT ISABEL, TX",PORT ISABEL, TX
I94PRTL,ISL,"ISLE ROYALE, MI",ISLE ROYALE, MI
I94PRTL,ISP,Collapsed (FOK) 06/15,,
I94PRTL,IWA,"INVALID - IWAKUNI, JAPAN",INVALID - IWAKUNI, JAPAN
I94PRTL,JAC,"JACKSONVILLE, FL",JACKSONVILLE, FL
I94PRTL,JAN,"THOMPSON FIELD - JACKSON, MS",THOMPSON FIELD - JACKSON, MS
I94PRTL,JBQ,No PORT Code (JBQ),,
I94PRTL,JCP,"CULEBRA - BENJAMIN RIVERA, PR",CULEBRA - BENJAMIN RIVERA, PR
I94PRTL,JER,"JERSEY CITY, NJ",JERSEY CITY, NJ
I94PRTL,JFA,No PORT Code (JFA),,
I94PRTL,JIG,No PORT Code (JIG),,
I94PRTL,JKM,"JACKMAN, ME",JACKMAN, ME
I94PRTL,JMZ,No PORT Code (JMZ),,
I94PRTL,JOB,"JOBOS, PR",JOBOS, PR
I94PRTL,JSJ,Collapsed (SAJ) 06/15,,
I94PRTL,JUN,"JUNEAU, AK",JUNEAU, AK
I94PRTL,KAL,"KALISPEL, MT",KALISPEL, MT
I94PRTL,KAN,"KANSAS CITY, MO",KANSAS CITY, MO
I94PRTL,KET,"KETCHIKAN, AK",KETCHIKAN, AK
I94PRTL,KEY,"KEY WEST, FL",KEY WEST, FL
I94PRTL,KLM,"KALAMA, WA",KALAMA, WA
I94PRTL,KOA,"KEAHOLE-KONA, HI",KEAHOLE-KONA, HI
I94PRTL,LAG,"LA GUARDIA, NY",LA GUARDIA, NY
I94PRTL,LAH,"LABUHA ARPT, INDONESIA",LABUHA ARPT, INDONESIA
I94PRTL,LAK,"LAKE CHARLES, LA (BPS)",LAKE CHARLES, LA (BPS)
I94PRTL,LAN,"LANCASTER, MN",LANCASTER, MN
I94PRTL,LAR,"LAREDO, TX",LAREDO, TX
I94PRTL,LAS,"LAS CRUCES, NM",LAS CRUCES, NM
I94PRTL,LAU,"LAURIER, WA",LAURIER, WA
I94PRTL,LCB,"LAREDO COLUMBIA BRIDGE, TX",LAREDO COLUMBIA BRIDGE, TX
I94PRTL,LEB,"LEBANON, NH",LEBANON, NH
I94PRTL,LEE,"LEESBURG MUNICIPAL AIRPORT, FL",LEESBURG MUNICIPAL AIRPORT, FL
I94PRTL,LEW,"LEWISTON, NY",LEWISTON, NY
I94PRTL,LEX,"BLUE GRASS - LEXINGTON, KY",BLUE GRASS - LEXINGTON, KY
I94PRTL,LGU,"CACHE AIRPORT - LOGAN, UT",CACHE AIRPORT - LOGAN, UT
I94PRTL,LGW,"WEST SUSSEX, ENGLAND",WEST SUSSEX, ENGLAND
I94PRTL,LHR,"MIDDLESEX, ENGLAND",MIDDLESEX, ENGLAND
I94PRTL,LIA,"LITTLE ROCK, AR (BPS)",LITTLE ROCK, AR (BPS)
I94PRTL,LIH,"LIHUE, HI",LIHUE, HI
I94PRTL,LIM,"LIMESTONE, ME",LIMESTONE, ME
I94PRTL,LIN,"NORTHERN SVC CENTER, MN",NORTHERN SVC CENTER, MN
I94PRTL,LIT,No PORT Code (LIT),,
I94PRTL,LKC,"LAKE CHARLES, LA",LAKE CHARLES, LA
I94PRTL,LLB,"JUAREZ-LINCOLN BRIDGE, TX",JUAREZ-LINCOLN BRIDGE, TX
I94PRTL,LNB,"LONG BEACH, CA",LONG BEACH, CA
I94PRTL,LND,"LANDER, WY",LANDER, WY
I94PRTL,LOB,"LORDSBURG, NM (BPS)",LORDSBURG, NM (BPS)
I94PRTL,LOI,"LOS INDIOS, TX",LOS INDIOS, TX
I94PRTL,LON,"LONGVIEW, WA",LONGVIEW, WA
I94PRTL,LOR,"LORAIN, OH",LORAIN, OH
I94PRTL,LOS,"LOS ANGELES, CA",LOS ANGELES, CA
I94PRTL,LOU,"LOUISVILLE, KY",LOUISVILLE, KY
I94PRTL,LRN,"LAREDO NORTH, TX",LAREDO NORTH, TX
I94PRTL,LSE,"LOS EBANOS, TX",LOS EBANOS, TX
I94PRTL,LUB,"LUBEC, ME",LUBEC, ME
I94PRTL,LUK,"LUKEVILLE, AZ",LUKEVILLE, AZ
I94PRTL,LVG,"LAS VEGAS, NV",LAS VEGAS, NV
I94PRTL,LWT,"LEWISTON, MT",LEWISTON, MT
I94PRTL,LYN,"LYNDEN, WA",LYNDEN, WA
I94PRTL,MAA,Abu Dhabi,,
I94PRTL,MAD,"MADAWASKA, ME",MADAWASKA, ME
I94PRTL,MAF,"ODESSA REGIONAL, TX",ODESSA REGIONAL, TX
I94PRTL,MAG,"MCGUIRE AFB, NY",MCGUIRE AFB, NY
I94PRTL,MAI,"MAIDA, ND",MAIDA, ND
I94PRTL,MAL,"MANGOLE ARPT, INDONESIA",MANGOLE ARPT, INDONESIA
I94PRTL,MAP,MARIPOSA AZ,,
